visual_first_3_seconds,voice_first_3_seconds,background_music_type_first_3_seconds,seven_day_views,year,quarter,month,target,last_day_tags,Primary_Category_1_grouped,Video_Type_1_1_final,Video_Type_1_2_final,voice_first_3_seconds_grouped,thumbnail_1_grouped,thumbnail_sentiment_1_grouped,thumbnail_sentiment_2_grouped,time_distribution,date
commoner (np),common voice (optv),no music,3936,2019,2,6,low,not_editable,rare,informative,no_video_type_1,common voice (optv),commoner,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-23
crowd,text only (to),relevant,4679,2019,3,7,low,no_tags,global news,rare,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,6 PM - 9 PM,2019-07-01
famous personality (fp),text only (to),loud,1707,2019,2,6,low,no_tags,politics,informative,no_video_type_1,text only (to),famous personality,happy,no_thumbnail_sentiment,9 AM - 12 PM,2019-06-18
commoner (np),text only (to),relevant,20665,2019,2,6,low,no_tags,sports & games,inspiring,emotions,text only (to),commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-23
other,text only (to),neutral,2362,2019,2,6,low,no_tags,government,informative,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-20
other,text only (to),relevant,2176,2019,2,6,low,no_tags,rare,rare,no_video_type_1,text only (to),object,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-06-20
other,text only (to),relevant,3328,2019,2,6,low,no_tags,rare,emotions,no_video_type_1,text only (to),commoner,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-19
other,text only (to),low,10878,2019,2,6,low,no_tags,environment/ecosystem,emotions,informative,text only (to),rare,neutral,no_thumbnail_sentiment,9 AM - 12 PM,2019-06-23
crowd,text only (to),low,20239,2019,2,6,low,no_tags,global news,emotions,informative,text only (to),crowd,action,no_thumbnail_sentiment,9 AM - 12 PM,2019-06-19
commoner (np),text only (to),neutral,21531,2019,2,6,low,no_tags,environment/ecosystem,inspiring,informative,text only (to),object,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-22
commoner (np),voice of famous personality (fpv),no music,26901,2019,2,6,low,no_tags,lifestyle,explainers,no_video_type_1,voice of famous personality (fpv),commoner,action,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-29
commoner (np),text only (to),low,1312,2019,2,6,low,not_editable,environment/ecosystem,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-17
commoner (np),common voice (optv),low,26022,2019,2,6,low,no_tags,lifestyle,informative,no_video_type_1,common voice (optv),commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-18
commoner (np),text only (to),relevant,4031,2019,2,6,low,no_tags,government,informative,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,3 PM - 6 PM,2019-06-18
other,text only (to),relevant,64801,2019,2,6,high,no_tags,rare,informative,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-19
other,text only (to),relevant,1269,2019,2,6,low,no_tags,rare,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-18
other,text only (to),relevant,1799,2019,2,6,low,no_tags,rare,informative,no_video_type_1,text only (to),commoner,action,no_thumbnail_sentiment,12 PM - 03 PM,2019-06-18
famous personality (fp),text only (to),relevant,3712,2019,2,6,low,no_tags,government,informative,no_video_type_1,text only (to),rare,neutral,no_thumbnail_sentiment,6 PM - 9 PM,2019-06-17
